ROI	structure	B51315	B51325	B51732	B51742	B51852	B51861	B51872	B51882	B51813	B51824	B51836	B52233	B52242	B52253	B52264	B52274	B53106	B52711	B52715	B52823	B52824	B52825	B52836	B53041	B53054	B53161	B53183	B53195	B53212	B53233	B53245	B53257	B53269	B53279	B53281	B53291	B55012	B55023	B55034	B55045	B55056	B54611	B54623	B54645	B54751	B49913	B49924	B49935	B49946	B49957	B49968	B49978	B49901
0	Exterior	102.8032	197.9312	251.0586	180.5581	183.483	200.9161	125.7713	180.4084	182.666	207.8839	164.4352	176.9502	154.425	159.2927	200.8994	206.0065	137.4102	147.9367	167.1671	178.5504	172.5415	175.5261	172.3578	151.5394	183.7859	182.553	174.9449	162.4987	131.1661	164.2491	168.1397	139.2999	173.3776	170.3783	168.9576	157.1143	199.7222	194.8945	205.5361	188.2321	172.5205	168.6408	189.6127	171.6128	179.5533	117.2014	110.9251	143.162	210.4324	222.7909	210.4547	192.7743	132.6469
1	Cingulate_Cortex,_Area_24a	128.0719	348.7514	215.4492	153.8939	234.3468	251.1408	121.3575	98.21961	86.31116	196.6328	253.4341	242.1192	191.4662	182.1223	235.8408	181.7415	201.9075	196.0681	201.0696	197.4263	81.23668	151.9088	113.2138	94.29704	149.009	217.3882	156.7025	222.0797	97.13273	182.3654	154.4254	162.5712	223.8109	194.1922	200.4592	169.9385	131.92	228.2896	259.8887	238.6538	269.6628	199.8296	234.7324	266.5812	185.0904	94.62381	67.42651	154.602	254.4807	314.3337	339.3037	322.7115	151.8759
2	Cingulate_Cortex,_Area_24a_prime	176.1766	313.672	167.8415	208.9072	309.7903	103.9019	148.2736	153.0982	114.4389	262.8652	199.1803	155.3326	145.1795	185.4908	190.2971	147.5325	227.317	214.743	266.2312	205.3795	66.36431	227.8385	154.2049	188.7563	208.832	237.8026	204.6532	270.8354	122.4674	232.2599	193.5984	172.6246	156.1543	208.2866	183.6423	184.4825	138.0517	315.4617	337.0215	259.33	277.5017	191.2308	239.4007	262.1551	216.9246	56.45479	52.48382	137.1293	259.3011	267.0695	392.0134	276.231	148.2676
3	Cingulate_Cortex,_Area_24b	112.8598	333.3592	197.0011	229.8379	256.7569	272.065	110.2826	179.9545	141.511	247.2449	212.7476	198.1148	189.122	178.8766	246.1456	231.2414	190.9961	223.4948	176.1288	192.1627	97.81719	182.6378	131.5529	113.8493	184.4074	232.8212	190.5979	243.4119	108.5957	193.4764	164.9632	176.0028	170.1985	173.3638	204.3561	163.5766	144.6668	268.8585	274.2664	256.5862	246.3227	153.134	211.0587	274.3886	206.1431	85.19331	53.56047	120.7301	257.5498	309.6344	369.0459	316.5423	131.2379
4	Cingulate_Cortex,_Area_24b_prime	148.0784	298.9683	159.2607	257.3977	344.7058	171.8938	193.6409	216.7153	194.6059	267.299	219.3033	88.57322	197.7264	183.7967	284.1399	277.4939	228.051	189.5599	202.9937	204.3569	122.5037	244.2105	209.4915	139.3328	254.6719	204.1228	198.8996	246.5247	106.6676	275.1406	207.9491	190.8934	118.6901	226.1289	160.5071	156.4082	319.2641	343.2742	309.4095	318.1866	120.3558	216.4846	228.9718	168.2782	134.7672	79.71786	117.9356	88.73956	298.2487	308.7787	374.8294	314.5821	212.0693
5	Cingulate_Cortex,_Area_29a	107.1004	245.0504	92.90106	299.9612	204.3244	226.3313	132.0426	227.3472	194.9705	295.2162	134.5194	150.3094	156.08	204.1172	185.7308	163.9468	222.3331	239.7331	195.2876	201.3481	244.3219	178.1426	217.0559	151.4499	253.3942	236.5499	241.0788	324.8933	123.948	230.7168	243.2327	205.2552	223.2733	243.4731	218.1165	225.4338	150.8544	312.9061	273.796	292.5785	205.0158	257.6423	278.1545	256.6824	218.8374	99.62425	43.60224	106.5685	129.01	228.7948	312.8829	244.5176	157.3632
6	Cingulate_Cortex,_Area_29b	84.54862	239.0858	244.013	242.2967	303.8817	243.0558	172.5047	221.7685	269.9938	343.644	225.0137	222.1002	191.2453	220.6072	259.0631	296.3139	161.4293	199.8226	307.2317	288.1517	232.3905	227.5092	222.7545	126.5871	292.3077	174.8167	252.7714	281.0324	148.5027	241.4971	236.1211	176.3299	195.7922	148.9563	214.8075	159.925	114.2155	285.434	269.1407	272.8167	190.6197	242.5977	210.7592	273.4774	258.8498	93.69445	23.47022	168.2114	151.8493	300.6134	390.8733	298.584	113.0362
7	Cingulate_Cortex,_Area_29c	106.6043	326.1544	180.1604	235.293	298.6681	239.2974	174.6838	267.0669	211.7325	303.4244	185.5059	144.6415	224.1195	202.0504	249.8884	247.1061	229.5493	169.6653	248.6256	225.0332	230.4378	192.2694	280.7872	134.0932	279.6513	164.6623	232.1622	295.8996	123.0655	227.585	235.0926	173.7082	182.8652	205.1155	191.6691	175.0538	218.9393	392.7784	294.4727	310.7697	159.0768	232.7557	295.4804	230.3167	227.579	85.61366	36.78798	184.1875	277.9976	304.8438	346.0101	331.776	159.8605
8	Cingulate_Cortex,_Area_30	104.4558	265.4589	216.1702	197.8763	338.1557	268.2826	191.6508	231.8217	197.2273	228.1663	226.9159	173.4527	248.6058	207.0345	242.3361	297.8785	183.6335	158.9012	265.6308	211.3985	204.6951	197.1326	239.0577	143.1256	240.8971	160.9094	198.6662	196.7512	152.3667	190.5444	186.5582	132.6345	130.2509	194.3311	187.2178	162.7834	209.8472	244.8354	259.1606	274.7355	237.2112	191.6001	193.1437	248.3509	201.8499	95.72561	72.78968	160.5238	283.5527	320.4638	307.8642	249.1199	147.5686
9	Cingulate_Cortex,_Area_32	156.6811	296.2567	276.3897	211.4113	267.1023	304.2859	158.4007	202.9463	191.7245	241.6848	253.8476	251.7525	281.5151	157.1032	232.6443	260.3472	146.8975	172.6711	176.9529	153.5641	121.8856	157.43	133.1715	133.6805	196.0312	193.6308	159.6442	171.0626	99.44008	146.1094	174.3484	186.8209	199.9981	179.787	200.6902	167.2518	144.8006	204.0924	226.2381	216.5704	191.6519	128.4907	258.9633	228.5147	172.3651	70.18134	66.41357	216.6646	237.3333	339.5882	336.6892	402.7725	127.6183
10	Primary_Auditory_Cortex	101.254	213.5969	275.0735	212.474	183.1965	202.6551	85.66723	78.62401	224.9603	203.757	95.84326	181.1684	100.2759	126.1898	80.87936	142.2005	107.6741	93.92538	274.8378	147.7447	219.1149	291.5642	247.8072	193.2481	204.9194	134.9888	160.9001	183.063	112.7284	139.0865	156.9525	141.2163	153.3581	165.9688	132.8775	173.1598	185.5112	199.2188	214.5432	235.539	216.3201	250.9747	204.2997	221.9651	186.9306	93.41224	103.4281	252.263	253.6958	114.9978	175.0065	250.0698	98.35085
11	Secondary_Auditory_Cortex,_Dorsal_Part	141.1993	253.1131	258.3939	205.3199	233.4814	275.3117	77.77541	83.69528	225.5669	235.3057	178.9908	179.4042	122.7783	174.6786	148.9834	198.6503	109.4447	106.1695	200.9574	140.475	210.1726	265.8569	265.8593	133.6844	213.8381	150.3558	171.7639	215.7544	158.0486	149.2994	158.769	165.0604	118.0796	208.9522	134.9974	168.711	143.1934	185.2309	185.5302	224.5726	206.844	197.7144	230.5357	263.0052	188.4666	79.55537	90.57571	218.5664	316.5084	117.7124	174.7958	236.0508	111.641
12	Secondary_Auditory_Cortex,_Ventral_Part	60.12637	104.6732	283.4113	212.0702	159.7403	194.0755	72.62321	89.8604	221.2696	230.0704	128.1595	163.6675	80.04469	107.1961	40.52642	98.33122	110.6212	126.2362	218.7753	167.2915	229.3941	136.6935	205.3896	162.7326	223.3006	148.656	173.7505	221.1486	94.02717	133.6014	165.0741	148.7233	186.8904	184.8299	149.6072	176.9568	174.9496	216.3549	245.3077	257.2856	218.761	233.7214	237.308	146.9137	234.2327	78.03431	222.0314	257.6447	182.9393	64.45298	203.4427	235.3172	76.75187
13	Dorsolateral_Orbital_Cortex	NaN	150.9756	368.1078	185.9346	225.229	344.3138	107.7398	196.7329	143.9291	240.3637	150.4431	277.2387	110.6344	152.4957	196.7569	172.5899	165.4926	139.7395	84.09701	158.4947	292.4002	185.5708	116.8278	115.7649	199.493	189.584	95.37133	171.1278	97.53013	125.6474	188.6838	180.785	164.5204	220.7224	152.5182	154.4863	105.1445	173.5153	208.578	211.0932	210.52	141.928	206.4219	NaN	143.576	113.2583	NaN	148.4336	169.2709	198.4385	284.5498	298.7693	133.3914
14	Frontal_Cortex,_Area_3	87.69732	112.3225	248.4955	149.1201	263.955	286.4273	124.2951	149.1046	161.865	220.422	137.2552	140.1377	71.56631	151.7385	198.8895	201.3874	118.6669	132.0208	89.30656	143.4565	164.4255	103.4261	147.7288	142.3204	163.3361	145.8872	132.1363	174.6369	72.59228	124.3169	148.0191	182.374	155.2565	126.5388	146.379	139.2421	173.085	202.76	196.0961	201.6265	184.4211	202.1446	126.5318	156.1789	138.1545	66.08965	NaN	161.6308	150.3749	176.9682	252.9866	265.3952	98.85126
15	Frontal_Association_Cortex	NaN	234.4881	229.9693	197.4402	264.1791	210.6193	116.8364	189.2067	157.8948	248.6291	193.2569	183.8348	81.52959	148.088	234.6131	210.0712	119.9315	111.4905	119.8849	161.4527	163.4642	289.3187	124.9281	168.5556	215.3858	184.2009	182.9711	162.9637	133.9885	174.9368	171.5031	187.1271	240.7996	281.125	193.2282	178.876	140.6474	199.8634	254.7126	184.3318	187.5839	130.7711	188.5152	104.9907	155.7203	123.2564	NaN	126.4001	152.3431	107.2099	299.1837	254.1472	91.75654
16	Insular_Cortex	64.60814	165.3728	286.8976	192.0212	360.0957	212.4487	82.12587	171.7505	172.6387	255.4057	214.9651	150.2476	89.23002	110.5766	170.6503	178.5161	201.9267	138.6106	91.25751	233.4865	196.7861	152.9565	132.1717	141.1632	244.015	174.1245	151.979	177.9143	122.3997	157.527	116.3132	166.7951	165.6433	180.0242	201.5486	162.3185	227.2055	179.1193	196.4958	198.9427	195.0204	168.0745	260.0909	149.8535	141.1078	105.8425	156.0647	201.4129	260.549	164.1307	309.8039	226.2391	142.7338
17	Lateral_Orbital_Cortex	77.58387	230.3244	195.2808	253.2798	249.1931	276.1869	135.3059	227.9322	183.5561	253.6424	196.5449	338.8558	85.5377	197.461	277.2375	252.9065	164.3701	153.3487	100.3632	203.3994	150.8647	149.175	133.7307	138.4501	212.2545	149.9505	171.5167	173.6003	147.7853	163.3036	165.2217	127.2117	166.2229	208.8285	173.5654	138.5627	158.5436	181.5083	187.049	170.8527	171.0192	202.3533	165.3966	159.4079	167.1245	104.9781	NaN	160.5734	244.0564	224.3524	297.7956	256.0757	209.3658
18	Lateral_Parietal_Association_Cortex	118.4412	302.4492	242.2785	246.4078	188.9968	365.3245	174.6407	213.7247	196.3789	228.0394	215.3104	227.7087	205.1116	237.9966	272.3277	318.6543	190.3071	185.1048	167.4217	183.4026	183.3707	200.3119	194.9146	104.121	210.1001	193.0218	125.5481	235.9922	151.2366	190.0306	148.9272	112.251	147.1129	270.0732	131.5341	136.4511	201.835	138.8482	177.7983	242.4724	268.6245	201.6034	180.5777	246.7258	160.2655	95.56116	99.23331	264.1003	297.3704	366.4841	294.3055	221.76	129.9132
19	Primary_Motor_Cortex	137.7302	299.1892	164.4901	166.8921	218.5957	240.9697	198.5449	171.4098	159.7554	208.6226	197.8222	174.3014	181.0794	212.2243	255.2674	263.1408	142.6405	114.816	192.2294	131.2682	124.6102	139.071	154.2231	112.5534	178.8299	189.2289	153.5515	196.1827	78.43206	159.0682	153.0809	149.8929	144.4694	173.8602	140.8555	143.3568	173.194	203.0965	204.6799	189.6842	211.5769	190.9582	188.1903	195.7863	187.2885	80.00876	110.8515	132.6843	226.7242	165.5394	279.5457	243.2571	152.3407
20	Secondary_Motor_Cortex	110.2119	313.4236	169.1011	217.9448	277.8	251.9438	139.5554	198.4338	179.9358	242.7735	186.4467	131.3524	209.0535	183.0505	270.6538	327.8456	168.2056	167.8459	201.8268	163.3588	124.4371	205.0501	141.7229	124.466	186.2908	216.9061	144.9947	199.8756	78.55412	174.7115	163.6444	182.9391	164.5362	175.2286	150.8538	142.1774	182.7619	235.0126	221.7085	216.4108	216.3021	179.0981	216.0768	142.528	185.9395	71.5604	134.6204	141.8868	298.0393	221.9368	338.1724	289.8144	168.5177
21	Medial_Orbital_Cortex	NaN	405.8739	310.5588	229.0694	201.0408	282.6244	133.8232	192.4351	187.4757	283.6644	277.4597	403.8361	246.4138	161.2154	289.7556	188.985	162.2711	178.6221	200.5766	212.5188	166.5502	149.8273	121.7566	140.556	193.6338	202.4408	161.6914	190.6723	101.6058	200.8617	205.3479	190.5928	257.4097	218.1714	252.736	197.315	116.0476	213.8362	255.1686	183.8863	206.1167	109.2885	247.9135	NaN	156.5862	82.43349	NaN	155.2773	304.695	428.8268	346.4523	399.5637	186.1549
22	Medial_Parietal_Association_Cortex	84.28334	258.3024	207.5249	248.7064	247.1156	333.0254	212.7672	229.8815	182.3826	219.2514	234.7693	212.3968	258.6159	280.3131	299.9554	321.5683	210.7498	207.4789	294.357	184.2623	195.4871	387.1033	221.4961	64.04815	157.9104	211.216	142.2074	206.2702	158.3944	196.8718	141.1366	141.2968	121.968	236.1507	79.18782	154.2072	311.5008	196.2535	237.6572	245.3348	251.9365	230.1846	154.6773	261.7191	244.5261	100.2165	112.313	201.0701	318.9286	345.4898	299.0927	213.9866	121.9724
23	Parietal_Cortex,_Posterior_Area,_Rostral_Part	109.6857	286.7008	221.6049	202.8011	152.2027	321.7691	92.58327	171.1124	236.4656	243.4429	221.0151	178.4088	220.2642	236.0117	241.4854	321.9893	158.631	158.4167	280.2788	179.5464	160.6258	113.4183	379.9264	100.5877	202.0439	185.9286	143.1159	205.3244	152.4647	201.77	163.2143	127.3638	88.74619	243.1499	151.7459	173.412	193.3385	171.7709	192.4818	241.1106	343.7874	170.4839	189.1915	254.8808	127.5612	67.44061	36.52728	267.9182	287.9947	374.0105	255.4782	292.8573	116.8125
24	Primary_Somatosensory_Cortex	140.525	248.4634	229.2815	194.6259	189.7692	344.9534	94.54891	114.7305	216.668	227.3837	159.372	161.4623	205.9184	206.1988	246.5118	286.323	107.5313	111.7697	165.8743	152.8146	178.2074	288.8398	324.9407	119.7453	203.2643	158.011	133.2902	186.2928	134.822	152.322	157.4502	148.5822	111.1018	183.5503	119.7142	166.3963	147.2665	166.0152	184.9676	210.5326	168.1952	190.0758	204.7358	260.7592	188.5742	91.99934	112.8794	230.2125	348.4223	171.0805	167.102	235.6974	114.0167
25	Primary_Somatosensory_Cortex,_Barrel_Field	133.3129	166.2526	281.2956	178.405	199.7523	270.1704	82.55241	150.3823	180.8695	234.9237	223.6542	180.3504	105.7559	173.8861	152.4779	206.1317	113.9436	88.93483	150.9388	112.4652	141.872	162.6314	257.5139	142.1073	181.179	157.4229	145.5647	173.8631	77.29154	134.651	159.5781	151.5652	138.1413	193.5194	140.3674	170.4774	156.2349	216.1946	209.3491	221.0301	186.0456	226.9176	224.9517	163.9383	174.8271	82.77716	133.977	212.8029	248.9873	215.6707	183.4236	226.1996	128.724
26	Primary_Somatosensory_Cortex,_Dysgranular_Zone	101.3404	169.0505	224.1069	168.7438	163.4283	223.6821	83.22704	169.9224	178.5789	221.8812	241.8959	95.17294	123.2232	178.6429	193.1423	284.8129	125.3652	86.80053	174.1084	103.5972	116.2188	119.8425	228.8474	148.5039	182.2821	181.1167	158.7675	173.695	66.94379	135.7896	152.4298	158.3527	176.8364	193.9122	146.1171	177.2038	149.3819	218.3634	207.7146	211.8405	195.9105	194.3565	207.3721	228.2327	131.3349	76.61048	123.8915	212.7943	287.5446	365.3636	212.8669	259.6766	96.70501
27	Primary_Somatosensory_Cortex,Forelimb_Region	127.566	181.3335	157.1869	160.4558	175.6675	205.2069	103.2921	170.2154	172.1722	227.1188	223.923	133.0547	120.2021	217.8838	216.5707	275.6854	132.0728	84.94274	184.5805	106.7153	118.5001	120.209	190.9411	150.1589	162.7223	202.7202	145.3429	192.5664	79.86798	137.4498	155.9332	155.339	148.8915	189.1773	137.2171	162.5421	170.3975	200.5506	212.95	196.0899	195.2915	198.0771	211.0602	196.1276	138.5252	82.89463	117.3987	187.7295	242.0702	277.7196	219.3039	234.5785	122.6177
28	Primary_Somatosensory_Cortex,_Hindlimb_Region	133.9613	288.1562	135.7616	175.408	163.5481	233.4785	122.1209	186.1223	177.0904	225.8726	222.8504	149.7425	213.8032	247.0077	261.4351	285.2734	154.2159	125.2584	217.2313	142.2332	133.1512	141.9257	192.5853	119.2787	191.159	222.2703	156.2566	202.4763	86.28545	171.3833	161.4462	173.1806	124.1823	201.8441	127.205	154.3784	230.5473	204.0141	209.2083	194.8825	221.5396	240.0908	220.1492	222.8314	159.4217	58.58929	152.5942	176.0777	272.3265	285.4835	268.5423	247.6999	132.8244
29	Primary_Somatosensory_Cortex,_Jaw_Region	78.71451	102.5098	215.8917	139.3271	284.6568	202.7136	113.6109	182.9477	140.1502	220.4747	193.3073	90.78053	73.73495	137.6507	246.2517	215.8378	128.4078	107.5174	113.984	160.7994	158.109	95.22114	132.892	145.9277	167.3555	124.7099	143.6675	172.7724	80.12267	96.77428	134.3122	176.5357	139.1768	174.3592	149.5907	138.8346	164.9589	207.3572	215.5253	198.6214	167.4665	233.366	151.502	115.6253	153.7807	83.77417	101.674	166.5462	203.0398	270.5383	245.9624	221.4038	89.5372
30	Primary_Somatosensory_Cortex,_Shoulder_Region	64.27225	293.9792	130.452	203.091	167.7199	279.2166	52.6601	154.7995	194.4729	264.7562	235.4523	143.1732	226.6088	265.2378	252.9352	286.2245	155.1662	122.3499	213.1203	151.5585	148.0106	129.9467	363.9996	136.4825	202.0899	270.6385	140.7407	190.9778	105.6236	160.248	152.5786	176.5228	93.68172	225.8507	165.9807	205.6495	288.3406	179.8613	237.3518	240.9979	223.7968	235.1559	203.5192	215.354	126.7732	100.8687	60.14468	219.9674	325.062	253.9363	246.5023	277.6617	89.65965
31	Primary_Somatosensory_Cortex,_Trunk_Region	88.8054	296.411	213.0613	224.4434	184.1323	335.5433	127.5816	177.1924	186.6586	239.9633	231.6135	198.2969	211.9861	255.6951	269.2441	299.2451	175.3374	171.3586	213.2549	179.0671	163.6281	157.9351	275.0346	104.1685	193.7917	229.1598	129.8056	215.9953	137.7327	192.4296	147.6069	131.0706	127.1006	251.8701	140.6351	155.8327	339.5378	171.318	195.0262	235.7072	274.8466	221.8278	173.4607	231.4199	152.6957	77.78038	86.78276	248.3968	292.4212	354.4708	269.0526	245.2437	119.9767
32	Primary_Somatosensory_Cortex,_Upper_Lip_Region	118.3484	98.46867	312.4454	169.5609	235.5772	192.4082	54.33035	172.447	173.7783	243.3745	162.988	156.1348	94.33844	128.0625	259.17	111.8622	108.9169	83.31219	107.288	131.5144	163.2512	84.66626	153.083	142.8251	206.2451	139.4196	155.0447	177.408	52.98252	126.695	168.2115	161.5417	145.8756	204.9411	157.9631	176.1123	206.2168	217.7764	247.7946	241.5373	208.6902	202.5827	156.6366	187.0898	180.823	103.5784	132.7655	198.098	290.9264	215.5915	243.953	207.0316	104.8022
33	Secondary_Somatosensory_Cortex	78.66485	107.7418	277.3899	175.5236	251.8927	144.8547	74.55122	149.1037	205.3326	234.7756	153.5179	166.6682	102.9241	105.8082	161.0415	103.0069	107.0453	108.7831	99.99337	147.2259	231.4104	107.4411	134.9233	149.5185	216.9584	162.5558	172.5585	185.0915	77.959	122.6702	156.3448	157.45	174.528	216.151	136.1089	178.5958	166.8929	225.8958	232.0431	238.108	176.5739	172.4873	198.7696	151.5258	175.8523	95.79428	195.6342	172.005	206.6183	171.9843	249.8405	179.7309	124.8302
34	Temporal_Association_Cortex	129.4152	203.365	196.3837	233.9746	223.6942	204.1126	94.26122	95.22322	247.7893	214.0792	171.2488	240.7101	163.0739	185.038	88.22025	166.3083	149.0013	137.7664	163.8379	205.7108	258.4807	184.6397	280.8063	152.2808	228.0173	179.5109	212.1333	206.2736	100.5661	171.7445	172.888	171.2103	185.8138	199.5089	205.1274	177.3118	237.9737	239.1603	236.1538	229.506	230.1824	233.392	251.8801	202.6278	230.0203	94.86503	133.3994	245.6143	236.5453	173.2076	271.1235	271.9614	124.0724
35	Primary_Visual_Cortex	135.5556	271.3815	238.4062	210.9876	206.6282	262.4121	92.87663	197.2394	177.7976	210.8267	237.3931	164.1006	232.5847	217.7923	232.1869	313.2594	156.1504	147.6829	226.7511	173.1895	196.5357	174.7479	300.8299	85.58417	232.9427	136.2246	170.55	203.3033	150.0362	173.0929	164.2994	125.7352	102.099	224.7591	139.5979	161.0433	144.0516	150.1057	191.0134	234.3665	186.0965	150.9578	218.0211	273.1304	121.7158	109.4416	48.10352	211.8271	281.1712	398.059	231.6339	250.3922	111.0582
36	Primary_Visual_Cortex,_Binocular_Area	146.0771	267.0354	216.0731	210.1031	260.5144	239.2271	73.40121	154.7529	204.2671	230.4769	226.8314	258.3051	226.2446	178.3223	199.1698	326.1565	127.7077	148.8482	164.0246	215.4425	206.5484	252.506	200.4042	137.6961	211.1177	173.5495	163.2847	162.0659	129.4868	197.2054	161.4033	150.1642	124.2783	170.0965	168.0811	183.4628	163.8644	191.9311	199.465	236.6778	175.6535	190.4826	220.6736	200.3327	208.1051	108.1274	110.4758	216.906	290.7067	367.9192	280.7609	242.0154	104.5799
37	Primary_Visual_Cortex,_Monocular_Area	118.7454	227.3927	213.3288	218.1671	286.5814	233.2623	104.2456	162.6277	201.8021	245.8481	211.3159	257.435	225.4149	197.7801	218.3899	293.5872	174.2222	167.1905	198.5402	220.0493	192.5932	248.8349	215.3167	113.7866	259.4095	172.2583	203.8415	220.5594	119.6418	203.0569	163.9426	133.0144	133.8358	181.4449	194.9198	164.2123	164.3385	205.0031	210.9983	262.2076	195.2074	165.5652	197.9735	228.6053	226.0761	105.8728	55.89866	226.7639	253.7282	345.4321	338.3711	243.5742	111.454
38	Secondary_Visual_Cortex,Lateral_Area	157.0848	272.2431	176.0525	186.4439	275.4795	255.3593	91.29309	94.03732	207.0981	231.7296	220.7781	202.0733	256.8055	215.9701	209.8049	320.7569	126.0892	123.5774	195.5614	193.6148	192.0002	294.2212	259.9132	134.7298	205.3037	170.7923	190.1079	173.8593	134.5739	176.8819	146.3288	141.4432	121.885	177.0471	159.0238	177.2636	214.2555	214.1679	205.0216	230.1507	197.8057	188.98	239.7677	228.1931	213.071	85.04034	94.25138	210.7613	284.6889	344.6537	294.3098	258.0518	90.45196
39	Secondary_Visual_Cortex,_Mediolateral_Area	139.612	291.6465	279.8139	275.6336	255.536	201.4714	155.6891	267.3616	224.2345	205.1197	222.3052	172.8167	262.3508	202.5571	202.9359	354.7607	205.991	240.7683	195.033	210.8876	266.1969	308.1772	169.3101	92.1178	243.131	140.0754	174.9926	192.0405	150.2316	197.3207	155.3431	164.1214	147.3037	210.0285	130.9035	181.1444	84.38908	156.2543	206.7836	216.0241	173.5683	181.9319	200.1497	266.669	228.0683	123.4359	82.83903	117.3781	292.2706	340.7816	331.9632	214.5003	116.1812
40	Secondary_Visual_Cortex,_Mediomedial_Area	110.6996	270.8361	199.4113	227.9064	343.5564	193.9505	181.1318	201.4695	206.3972	234.3655	199.4038	207.0008	255.6512	204.772	240.7384	305.8004	198.7284	170.4147	261.6173	221.2192	209.7237	280.6854	206.6424	111.267	264.1589	173.7294	217.4624	200.3015	132.6896	202.519	157.155	156.7587	153.6641	186.1355	186.2784	154.5322	113.7369	216.5513	227.1402	251.1044	186.7561	179.0412	186.1383	288.2227	242.4119	112.5514	49.87532	160.5867	280.9921	344.8575	361.9005	274.2443	122.0282
41	Ventral_Orbital_Cortex	NaN	358.8029	220.3018	232.4163	219.4372	274.7068	105.6226	201.3283	210.8669	235.1526	168.343	355.3054	133.8311	248.557	214.5076	212.5006	136.3488	142.3144	157.9338	227.2164	192.4805	114.2767	124.8087	136.2563	151.6255	164.8266	116.5005	179.734	107.2905	165.3815	179.8936	182.7072	187.5464	179.4643	202.7002	173.1813	145.2075	202.0522	183.0289	175.7783	216.49	99.64909	184.4949	NaN	148.884	68.83624	NaN	108.7979	306.9041	213.731	359.8831	345.5352	171.0821
42	Caudomedial_Entorhinal_Cortex	124.5008	222.842	201.673	233.2553	221.6484	264.6396	98.11942	177.4814	200.0289	256.7473	147.609	165.5751	209.0785	213.6875	253.0701	223.1533	171.9385	166.0265	126.9724	212.8909	166.7514	151.0222	262.8255	154.2807	227.0387	221.0463	169.5193	197.3889	131.5305	165.2014	208.6755	135.291	160.9236	193.0446	194.2179	172.5382	209.4006	186.5129	231.4455	252.1797	195.5325	203.3071	197.3215	173.059	222.8655	105.0029	120.6772	200.071	188.1521	291.8212	333.589	213.8712	124.2159
43	Dorsal_Intermediate_Entorhinal_Cortex	130.4534	148.7171	275.2876	173.7147	260.8138	268.7088	44.26371	204.8105	126.5325	256.3035	104.3423	173.775	84.47726	170.6461	90.79308	118.3977	135.7178	118.4468	140.0844	172.3056	186.479	336.288	190.6121	186.626	195.4652	163.459	148.1034	159.1693	70.28305	159.1458	143.5446	154.2784	128.8349	163.5571	132.6959	117.2294	208.166	180.8655	178.4691	178.3253	232.3823	269.7058	260.8283	254.9568	203.6432	131.4222	106.522	216.8555	162.4489	243.3924	199.9469	209.9548	259.0197
44	Dorsolateral_Entorhinal_Cortex	136.4702	207.0688	138.1543	246.7314	220.5111	284.2891	78.15633	116.3325	165.3422	253.5424	131.9371	185.8668	105.5108	169.9334	109.7114	141.9896	158.7043	141.4921	204.9392	243.8082	218.6374	244.5318	206.6126	175.3177	203.8512	200.3475	169.1601	147.5267	104.0863	162.5434	139.1067	168.2969	147.8376	177.5757	168.6624	147.2336	213.9272	193.9861	210.5744	218.7512	243.2242	268.9301	210.1398	216.8497	245.9022	78.43172	130.0602	230.5702	168.4998	215.4527	276.8736	290.8771	149.9204
45	Medial_Entorhinal_Cortex	136.7869	332.7208	150.8645	117.6712	139.6638	219.9574	84.08247	203.4896	149.7466	304.1725	215.1211	198.8882	159.2431	237.8172	276.7167	231.1725	160.066	102.8238	136.5305	198.4589	211.1133	224.9658	236.6799	144.6221	262.1441	195.7817	158.8402	195.0647	146.5549	130.887	187.8037	135.2422	143.0819	156.5757	166.9996	159.0068	206.8752	133.2482	174.9115	211.3825	166.062	142.8227	144.3936	166.3127	187.7018	122.2217	165.5276	139.1082	252.4065	352.9825	222.2388	198.5702	138.9824
46	Ventral_Intermediate_Entorhinal_Cortex	100.7421	244.5963	176.8372	139.9971	138.7966	184.6586	71.09227	219.3568	139.6688	285.629	130.6618	201.4018	126.0075	228.0269	155.2397	230.3995	130.0676	101.5575	157.6212	150.7816	280.6881	159.2164	198.2472	144.8472	253.1233	154.0135	129.6804	214.7722	141.1589	119.4475	177.0574	172.2392	131.994	158.8588	141.5434	126.4216	175.1682	152.1036	167.0794	181.9837	147.2316	160.6399	166.3997	216.0573	189.4525	175.0661	148.1425	169.8535	240.9786	337.1237	204.0758	211.8517	158.7409
47	Claustrum	74.52785	146.3724	233.2153	249.1853	378.2219	166.2061	62.16086	177.2674	318.2775	242.5263	339.5488	169.1661	53.18988	109.5624	347.4044	403.4662	230.311	162.7952	71.13175	202.8411	165.2209	162.7549	173.3302	322.3093	222.2705	147.305	207.8217	187.0055	158.8977	166.9531	179.6604	145.8862	166.2529	171.1875	330.3882	128.2602	248.6361	120.7721	210.2823	241.0613	126.155	167.5477	107.1613	177.1664	140.7933	98.0185	NaN	74.38309	447.1547	238.4143	294.7401	358.58	216.6053
