ROI	structure	B51315	B51325	B51732	B51742	B51852	B51861	B51872	B51882	B51813	B51824	B51836	B52233	B52242	B52253	B52264	B52274	B53106	B52711	B52715	B52823	B52824	B52825	B52836	B53041	B53054	B53161	B53183	B53195	B53212	B53233	B53245	B53257	B53269	B53279	B53281	B53291	B55012	B55023	B55034	B55045	B55056	B54611	B54623	B54645	B54751	B49913	B49924	B49935	B49946	B49957	B49968	B49978	B49901
1133		67.25071	267.6255	128.822	140.1131	180.2744	170.113	85.11889	192.2144	240.3888	202.5099	137.9452	100.1473	218.0473	163.8552	180.8421	243.88	98.56359	112.853	131.6481	75.62565	146.7693	166.4204	113.635	60.10605	120.5956	114.1246	96.00533	138.9651	110.981	116.7794	87.99335	76.23938	83.51338	121.6047	141.5881	107.3443	144.4027	138.7056	140.8794	110.8981	80.17004	114.3383	114.3476	175.5481	139.7166	109.0721	92.47492	101.8158	184.5398	260.8425	178.2423	178.692	79.69421
1134		58.34758	250.4343	138.5422	178.5502	178.6235	307.0434	144.472	166.8805	301.8046	168.8745	139.7423	221.1506	147.0461	215.6269	229.5992	211.3603	119.0633	158.1677	180.3469	209.0843	223.952	255.7563	157.6078	72.23708	98.49802	149.0633	94.54234	166.4848	190.4086	143.9907	189.5861	74.85651	107.2513	91.6993	159.0018	117.8801	159.4539	241.1876	167.6141	180.5815	88.39719	158.2141	159.0266	132.7758	141.4969	96.56626	55.13294	139.4605	213.8865	262.6417	424.0203	298.167	74.91932
1135		97.67512	152.4821	246.6643	167.0068	254.1037	209.8598	97.0873	184.5567	205.6953	193.0111	167.6553	254.8164	154.5166	130.2593	183.255	157.1656	137.9457	142.9496	98.97839	209.7113	106.6098	142.3206	190.9341	157.3704	115.4294	187.0934	173.4173	79.62391	142.0153	103.456	121.1401	142.9972	166.2052	102.9648	121.9506	119.6275	188.6614	229.9944	153.6681	133.0404	141.898	173.3344	164.297	166.4241	193.9894	151.5889	85.77744	140.0198	188.0228	225.7979	233.5311	153.0409	170.5701
1136		242.6949	166.1364	348.6335	143.0179	187.3431	164.8396	168.3286	206.4773	105.4268	125.277	159.6871	244.7424	155.0819	156.4135	242.2049	223.0095	78.70968	123.9064	124.3949	180.7481	117.4095	148.9812	141.4099	178.2099	264.5956	190.9101	158.3657	106.074	185.0003	171.9741	122.3005	155.1688	143.441	138.5107	123.7355	164.754	194.2982	349.3043	270.5821	224.5818	105.5218	143.1732	174.2866	419.2305	160.6675	78.35842	98.92319	129.7581	162.8824	269.7672	237.5767	230.7103	222.1634
1137		43.22563	158.076	115.8054	246.2929	192.9908	258.4444	139.4793	185.3488	204.8586	177.7209	159.1346	181.3428	180.3827	185.6423	235.1228	228.3858	51.73058	134.2889	77.66085	89.41148	63.06353	113.2982	185.4501	151.4743	150.6271	222.701	97.59374	62.69627	183.6887	97.32169	83.81864	124.5394	66.28709	84.5097	107.0784	127.7895	334.4877	367.7237	123.4363	47.71263	105.7675	164.249	96.45412	111.5259	228.7581	117.1375	54.45678	133.5631	148.0681	179.9189	73.45979	116.019	106.8361
1138		83.28809	NaN	566.3636	NaN	NaN	253.0438	63.50087	161.1873	108.4789	NaN	NaN	206.9958	NaN	NaN	102.0886	NaN	NaN	NaN	48.64076	NaN	NaN	NaN	NaN	224.6121	NaN	NaN	NaN	83.76156	NaN	244.411	NaN	129.2951	164.9444	NaN	NaN	241.5551	NaN	NaN	NaN	NaN	113.1529	NaN	280.277	NaN	417.4038	NaN	81.46509	145.1856	NaN	193.4004	NaN	NaN	NaN
1139		74.00844	198.596	357.1448	212.9288	120.3304	263.3464	180.9033	150.2623	109.4217	139.4874	491.4356	179.7606	125.4534	282.3129	240.0486	206.7558	75.55095	163.8111	70.14916	75.26367	95.9911	165.0888	70.77713	179.6448	81.11079	38.89866	98.13027	118.9552	69.77787	141.7439	76.6657	84.24705	197.7919	163.9214	65.80304	125.6266	212.7919	291.6194	86.43742	227.6626	127.6182	182.9866	150.7615	196.7856	118.196	118.9313	119.6074	144.8087	432.6263	485.3588	81.44286	238.3868	424.3802
1140		109.488	244.1089	207.7785	145.2973	157.9868	182.4568	169.9438	166.8778	294.2312	200.5275	142.641	320.4635	114.6604	150.4307	166.9143	130.3833	76.34549	70.28261	110.2223	124.6296	150.1737	100.6942	183.198	72.64336	155.6865	94.54134	194.6191	80.48186	126.9528	101.9346	130.9426	93.92615	125.9781	135.3124	147.0625	76.70872	191.2733	115.8863	140.1405	155.2399	87.68383	111.1958	132.2876	195.6219	202.5136	168.8809	123.1495	119.1451	156.1535	219.7852	157.8471	180.9343	181.3181
1141		136.7586	173.8997	214.0256	193.0189	147.8462	224.4371	165.8793	154.3734	221.2979	241.7608	128.7313	307.2177	92.75005	97.34301	150.6758	129.3267	91.95483	134.121	258.2634	164.4503	114.0478	167.5736	229.9269	78.23022	173.6064	150.0371	246.5098	136.9296	258.1389	138.4408	159.1863	161.3176	188.3439	280.6235	144.713	66.06393	292.7893	136.2457	116.4219	102.1889	77.27946	77.67261	129.3851	206.9558	214.4652	111.1532	193.7238	188.3552	172.457	196.0425	226.164	202.3717	186.1375
1142		86.85686	171.4104	268.7055	213.6626	147.7919	254.3867	91.32248	115.6964	207.5619	191.3642	173.7075	79.05006	203.2106	167.9686	146.1786	235.8528	95.2001	118.0718	129.7629	141.452	160.2199	161.9347	171.3494	82.54588	110.3036	139.0837	82.16949	112.3292	116.8408	121.2942	94.96375	68.54591	100.4669	91.08969	109.7428	138.9617	129.5574	142.3243	169.5965	104.4844	110.9143	129.8506	131.8807	156.843	67.77747	93.38779	69.20209	139.7173	202.46	247.6981	201.4322	220.451	127.1243
