ROI	B51315	B51325	B51732	B51742	B51852	B51861	B51872	B51882	B51813	B51824	B51836	B52233	B52242	B52253	B52264	B52274	B53106	B52711	B52715	B52823	B52824	B52825	B52836	B53041	B53054	B53161	B53183	B53195	B53212	B53233	B53245	B53257	B53269	B53279	B53281	B53291	B55012	B55023	B55034	B55045	B55056	B54611	B54623	B54645	B54751	B49913	B49924	B49935	B49946	B49957	B49968	B49978	B49901
20	0.5314989	0.7510538	0.5190641	0.5876769	0.5362149	0.5148684	0.5211336	0.6964467	0.5792664	0.550586	0.5183756	0.6016548	0.5921553	0.5892565	0.5656313	0.5415059	0.396293	0.5004978	0.3392044	0.4271426	0.380614	0.3747627	0.4104109	0.3198721	0.2992439	0.4315815	0.4117023	0.3919825	0.3767269	0.3752212	0.486072	0.3744992	0.3308867	0.3794469	0.3753703	0.321362	0.4020601	0.336056	0.3639417	0.4074844	0.3718828	0.3992204	0.6078249	0.4373367	0.4992626	0.4852231	0.681255	0.5389911	0.5771805	0.5556002	0.5206124	0.6663846	0.6441984
21	0.5173731	0.6605403	0.4515626	0.4967977	0.4230663	0.4163787	0.4052534	0.60871	0.5044866	0.4641009	0.4341284	0.5735062	0.5530141	0.5753093	0.4392283	0.4227627	0.3136814	0.4166799	0.3244137	0.3623194	0.3133289	0.312626	0.3194459	0.2868749	0.294731	0.3557409	0.3532458	0.3050839	0.3004615	0.3023983	0.426428	0.3293923	0.2412599	0.3312177	0.3253847	0.2623644	0.2958229	0.2619742	0.2775466	0.318292	0.2857879	0.3269633	0.4185432	0.4028674	0.4316246	0.4315798	0.641019	0.5784163	0.6041535	0.5293333	0.519183	0.5707075	0.5944027
22	0.7473841	0.8386453	0.7027376	0.7358292	0.783872	0.7312559	0.7787659	0.7425017	0.7193394	0.7206602	0.7114602	0.7207779	0.7794698	0.7727979	0.8360313	0.7734144	0.5736933	0.5721666	0.4673103	0.5675684	0.5007116	0.5036816	0.5512394	0.4556164	0.4527789	0.5709649	0.5495409	0.5565279	0.5586696	0.5252914	0.547837	0.4689137	0.4400507	0.4991819	0.439193	0.4845033	0.4761245	0.5640442	0.6025133	0.5868356	0.5398687	0.5160847	0.8547799	0.5972235	0.6372129	0.6835666	0.8572812	0.7809445	0.7958415	0.8298137	0.7987193	0.797237	0.7950215
23	0.7430101	0.7838689	0.6931131	0.6755517	0.7421741	0.6728535	0.7207884	0.7849997	0.7370778	0.6856567	0.6640363	0.691802	0.7249252	0.7632772	0.8072824	0.7602154	0.561426	0.5693099	0.483557	0.5558679	0.4793518	0.5146474	0.5390005	0.4756016	0.477669	0.5472375	0.5509497	0.5310803	0.5145183	0.5147204	0.5589923	0.4976537	0.4464382	0.5001504	0.4437355	0.4766933	0.4481641	0.5454344	0.5842965	0.6207417	0.5155947	0.4758601	0.778114	0.5736234	0.6174639	0.6869558	0.8865644	0.8402227	0.8104889	0.7346874	0.8604082	0.8708428	0.8249991
24	0.6452483	0.7294	0.6632146	0.5968651	0.6863074	0.5667606	0.6075824	0.6940251	0.6538376	0.6270019	0.608106	0.649377	0.6980642	0.7063479	0.7172898	0.6525572	0.4702389	0.5316005	0.4733545	0.5174329	0.4215896	0.4819544	0.4977981	0.4442735	0.4978675	0.5143956	0.5774323	0.4777848	0.4990015	0.4765157	0.5255176	0.4725829	0.4001829	0.4751621	0.4168457	0.4187757	0.3594866	0.5011549	0.5257537	0.5645676	0.4762712	0.3896727	0.6165943	0.4840871	0.5464258	0.5767959	0.8744668	0.7983508	0.7630004	0.640437	0.7749413	0.8299625	0.7578484
25	0.5801743	0.7207143	0.6117763	0.5755462	0.6173241	0.5180479	0.5485616	0.658398	0.6911165	0.6172572	0.5624657	0.5914117	0.6315391	0.6401051	0.6447557	0.5932813	0.4162519	0.5070823	0.4135563	0.4867432	0.4023201	0.451682	0.4465183	0.3775772	0.3739643	0.4571722	0.4572065	0.4346143	0.4296747	0.433276	0.54193	0.4126593	0.3706371	0.4025641	0.4023605	0.3598672	0.3452276	0.441471	0.4578378	0.5304152	0.446221	0.3547487	0.5737526	0.3897033	0.4366241	0.5422621	0.8191501	0.692206	0.7223916	0.568372	0.708326	0.7422155	0.7623515
26	0.6214607	0.7877763	0.6188676	0.6245813	0.6502549	0.5599263	0.5783883	0.7297437	0.687104	0.6322221	0.6006349	0.6501002	0.6491745	0.6798784	0.6936912	0.6489781	0.4400887	0.5478958	0.4131433	0.4894156	0.425996	0.446357	0.4672902	0.3813244	0.3625892	0.47469	0.4596041	0.4541655	0.434859	0.4449877	0.5431454	0.414405	0.3851395	0.4164223	0.4216214	0.3733899	0.3774374	0.4315154	0.4627814	0.5263225	0.4605582	0.3874177	0.632683	0.4105594	0.4534212	0.5981627	0.853548	0.7415913	0.7661168	0.6170717	0.6973774	0.7958745	0.7846662
27	0.59794	0.7694682	0.5839621	0.6169211	0.6170112	0.5387653	0.5557316	0.73112	0.7015795	0.6127067	0.5865675	0.6330264	0.6412129	0.661991	0.6665046	0.6049809	0.4264264	0.5200921	0.3885474	0.4684976	0.4137115	0.4285831	0.4463453	0.3654002	0.3517154	0.4659946	0.4357301	0.4317733	0.4246148	0.4240467	0.5166828	0.4015221	0.3619961	0.402276	0.389006	0.3612778	0.3830266	0.4109029	0.4374135	0.5094137	0.4426445	0.3961104	0.6329764	0.4116323	0.4515275	0.5560679	0.7971709	0.6917665	0.7324471	0.5906436	0.632632	0.7626027	0.7608852
28	0.6177495	0.776141	0.610742	0.6620839	0.6641369	0.5863109	0.621376	0.7240527	0.6958699	0.6664884	0.606647	0.6357729	0.6654347	0.6594977	0.6937533	0.6555146	0.471074	0.5506836	0.4164772	0.4843983	0.4428387	0.4539307	0.4869983	0.3953153	0.3820737	0.4973865	0.4754951	0.4784123	0.4604432	0.4493955	0.5271911	0.4228504	0.3874373	0.4190442	0.3877032	0.3884709	0.4399526	0.4626776	0.5019299	0.5387785	0.4806478	0.4548932	0.7339184	0.4770411	0.5124431	0.5773774	0.7836797	0.6860837	0.6763973	0.622989	0.6628221	0.7929303	0.7574319
29	0.4847182	0.690969	0.4781491	0.4890329	0.4909238	0.4253643	0.4266284	0.6059581	0.5275268	0.4839197	0.4587676	0.5372925	0.5227543	0.5601819	0.5085146	0.474145	0.3195507	0.4450945	0.3299864	0.3934296	0.3336661	0.3460933	0.3503668	0.2895412	0.2928031	0.3596143	0.3472677	0.3363374	0.3200862	0.3406945	0.4635463	0.3577798	0.2832364	0.3533937	0.3354132	0.2821727	0.2926604	0.2836504	0.3030165	0.3594698	0.3337711	0.2986701	0.4174273	0.3155858	0.3648999	0.4315338	0.7147956	0.5972065	0.6608206	0.5169125	0.5587749	0.6560756	0.6537961
